Site,Bag_Col,Month,Bag_no,Mort_count,Month_no
Chelsea,Green,August,91,11,8
Chelsea,Green,August,72,1,8
Chelsea,Green,August,71,9,8
Chelsea,Green,August,12,3,8
Chelsea,Blue,August,27,10,8
Chelsea,Blue,August,29,22,8
Chelsea,Blue,August,37,10,8
Chelsea,Blue,August,46,14,8
Chelsea,Blue,August,48,7,8
Chelsea,Blue,August,49,18,8
Chelsea,Blue,August,65,18,8
Chelsea,Blue,August,74,7,8
Chelsea,Red,August,17,0,8
Chelsea,Red,August,22,10,8
Chelsea,Red,August,35,7,8
Chelsea,Red,August,39,10,8
Chelsea,Red,August,26,9,8
Chelsea,Red,August,30,4,8
Chelsea,Red,August,48,9,8
Chelsea,Red,August,50,7,8
Manchester,Green,August,58,1,8
Manchester,Green,August,60,0,8
Manchester,Green,August,79,0,8
Manchester,Green,August,84,0,8
Manchester,Green,August,89,0,8
Manchester,Green,August,80,0,8
Manchester,Green,August,100,1,8
Manchester,Green,August,11,0,8
Manchester,Blue,August,28,0,8
Manchester,Blue,August,54,1,8
Manchester,Blue,August,68,0,8
Manchester,Blue,August,88,0,8
Manchester,Blue,August,58,0,8
Manchester,Blue,August,75,0,8
Manchester,Blue,August,63,0,8
Manchester,Blue,August,47,0,8
Manchester,Red,August,3,0,8
Manchester,Red,August,29,0,8
Manchester,Red,August,34,0,8
Manchester,Red,August,40,0,8
Manchester,Red,August,8,0,8
Manchester,Red,August,46,0,8
Manchester,Red,August,10,0,8
Manchester,Red,August,11,0,8
Hood Head,Green,August,73,0,8
Hood Head,Green,August,88,0,8
Hood Head,Green,August,14,0,8
Hood Head,Green,August,93,0,8
Hood Head,Green,August,77,0,8
Hood Head,Green,August,75,0,8
Hood Head,Green,August,98,0,8
Hood Head,Green,August,13,0,8
Hood Head,Blue,August,31,0,8
Hood Head,Blue,August,34,0,8
Hood Head,Blue,August,44,0,8
Hood Head,Blue,August,70,1,8
Hood Head,Blue,August,54,0,8
Hood Head,Blue,August,43,0,8
Hood Head,Blue,August,61,0,8
Hood Head,Blue,August,73,0,8
Hood Head,Red,August,23,0,8
Hood Head,Red,August,28,1,8
Hood Head,Red,August,33,1,8
Hood Head,Red,August,36,0,8
Hood Head,Red,August,2,0,8
Hood Head,Red,August,20,0,8
Hood Head,Red,August,24,0,8
Hood Head,Red,August,27,0,8
Thorndyke Bay,Green,August,69,0,8
Thorndyke Bay,Green,August,74,0,8
Thorndyke Bay,Green,August,83,0,8
Thorndyke Bay,Green,August,97,0,8
Thorndyke Bay,Green,August,67,0,8
Thorndyke Bay,Green,August,99,0,8
Thorndyke Bay,Green,August,81,0,8
Thorndyke Bay,Green,August,57,1,8
Thorndyke Bay,Blue,August,36,0,8
Thorndyke Bay,Blue,August,41,0,8
Thorndyke Bay,Blue,August,59,0,8
Thorndyke Bay,Blue,August,72,0,8
Thorndyke Bay,Blue,August,35,0,8
Thorndyke Bay,Blue,August,52,0,8
Thorndyke Bay,Blue,August,64,0,8
Thorndyke Bay,Blue,August,67,1,8
Thorndyke Bay,Red,August,16,0,8
Thorndyke Bay,Red,August,18,0,8
Thorndyke Bay,Red,August,19,0,8
Thorndyke Bay,Red,August,49,0,8
Thorndyke Bay,Red,August,15,0,8
Thorndyke Bay,Red,August,9,0,8
Thorndyke Bay,Red,August,45,1,8
Thorndyke Bay,Red,August,37,0,8
Chelsea,Green,September,59,21,9
Chelsea,Green,September,70,2,9
Chelsea,Green,September,85,0,9
Chelsea,Green,September,86,9,9
Chelsea,Green,September,91,4,9
Chelsea,Green,September,72,10,9
Chelsea,Green,September,71,6,9
Chelsea,Green,September,12,1,9
Chelsea,Blue,September,27,11,9
Chelsea,Blue,September,29,0,9
Chelsea,Blue,September,37,9,9
Chelsea,Blue,September,46,3,9
Chelsea,Blue,September,48,23,9
Chelsea,Blue,September,49,11,9
Chelsea,Blue,September,65,0,9
Chelsea,Blue,September,74,2,9
Chelsea,Red,September,17,5,9
Chelsea,Red,September,22,11,9
Chelsea,Red,September,35,0,9
Chelsea,Red,September,39,3,9
Chelsea,Red,September,26,4,9
Chelsea,Red,September,30,17,9
Chelsea,Red,September,48,11,9
Chelsea,Red,September,50,3,9
Manchester,Green,September,58,0,9
Manchester,Green,September,60,0,9
Manchester,Green,September,79,1,9
Manchester,Green,September,84,0,9
Manchester,Green,September,89,0,9
Manchester,Green,September,80,0,9
Manchester,Green,September,100,0,9
Manchester,Green,September,11,0,9
Manchester,Blue,September,28,0,9
Manchester,Blue,September,54,0,9
Manchester,Blue,September,68,0,9
Manchester,Blue,September,88,0,9
Manchester,Blue,September,58,0,9
Manchester,Blue,September,75,0,9
Manchester,Blue,September,63,0,9
Manchester,Blue,September,47,0,9
Manchester,Red,September,3,0,9
Manchester,Red,September,29,0,9
Manchester,Red,September,34,0,9
Manchester,Red,September,40,1,9
Manchester,Red,September,8,0,9
Manchester,Red,September,46,0,9
Manchester,Red,September,10,0,9
Manchester,Red,September,11,1,9
Hood Head,Green,September,73,0,9
Hood Head,Green,September,88,0,9
Hood Head,Green,September,14,0,9
Hood Head,Green,September,93,0,9
Hood Head,Green,September,77,0,9
Hood Head,Green,September,75,1,9
Hood Head,Green,September,98,1,9
Hood Head,Green,September,13,3,9
Hood Head,Blue,September,31,0,9
Hood Head,Blue,September,34,2,9
Hood Head,Blue,September,44,0,9
Hood Head,Blue,September,70,0,9
Hood Head,Blue,September,54,0,9
Hood Head,Blue,September,43,7,9
Hood Head,Blue,September,61,0,9
Hood Head,Blue,September,73,1,9
Hood Head,Red,September,23,3,9
Hood Head,Red,September,28,0,9
Hood Head,Red,September,33,0,9
Hood Head,Red,September,36,0,9
Hood Head,Red,September,2,4,9
Hood Head,Red,September,20,0,9
Hood Head,Red,September,24,0,9
Hood Head,Red,September,27,0,9
Thorndyke Bay,Green,September,69,1,9
Thorndyke Bay,Green,September,74,0,9
Thorndyke Bay,Green,September,83,0,9
Thorndyke Bay,Green,September,97,0,9
Thorndyke Bay,Green,September,67,0,9
Thorndyke Bay,Green,September,99,0,9
Thorndyke Bay,Green,September,81,0,9
Thorndyke Bay,Green,September,57,0,9
Thorndyke Bay,Blue,September,36,1,9
Thorndyke Bay,Blue,September,41,0,9
Thorndyke Bay,Blue,September,59,0,9
Thorndyke Bay,Blue,September,72,0,9
Thorndyke Bay,Blue,September,35,0,9
Thorndyke Bay,Blue,September,52,0,9
Thorndyke Bay,Blue,September,64,0,9
Thorndyke Bay,Blue,September,67,0,9
Thorndyke Bay,Red,September,16,0,9
Thorndyke Bay,Red,September,18,0,9
Thorndyke Bay,Red,September,19,0,9
Thorndyke Bay,Red,September,49,0,9
Thorndyke Bay,Red,September,15,0,9
Thorndyke Bay,Red,September,9,0,9
Thorndyke Bay,Red,September,45,0,9
Thorndyke Bay,Red,September,37,0,9
